Generation,MaxFitness,AvgFitness,MaxDistance
0,126,-99,192
1,754,312,792
2,283,277,324
3,1196,793,1236
4,1467,1032,1524
5,121,94,184
6,5074,2873,5084
7,8805,2668,8788
8,1656,1353,1688
9,10438,2885,10412
10,4631,1231,4644
11,15068,4590,14968
