Generation,MaxFitness,AvgFitness,MaxDistance
0,1047,123,1088
1,1911,695,1964
2,2540,1110,2572
3,1646,972,1684
4,1057,608,1096
5,2837,1482,2868
6,4899,1157,4932
7,6095,2464,6120
8,1793,858,1824
9,2092,820,2120
10,1354,656,1388
11,5966,3573,5976
12,2988,2044,3012
13,3737,1155,3756
14,2306,1250,2340
15,5454,934,5460
16,9623,2866,9600
17,10889,3723,10860
18,4701,2349,4712
19,15068,8002,14968
