Generation,MaxFitness,AvgFitness,MaxDistance
0,452,82,496
1,856,406,920
2,422,389,484
3,454,414,496
4,1005,301,1068
5,894,324,928
6,1201,801,1240
7,1047,786,1084
8,458,288,504
9,417,230,484
10,93,91,164
11,2459,299,2492
12,12377,4221,12340
13,12737,3325,12700
14,8863,2899,8852
15,4989,2756,5004
16,907,535,944
17,4103,865,4120
18,5225,2060,5236
19,3663,2180,3680
20,3661,2221,3680
21,13497,8598,13448
22,3141,983,3164
23,2546,562,2572
24,7235,1071,7232
25,10812,4066,10784
26,15068,5956,14968
