Generation,MaxFitness,AvgFitness,MaxDistance
0,1799,133,1828
1,5739,2612,5748
2,3284,2328,3312
3,9402,2631,9380
4,14688,4748,14632
5,4634,1077,4644
6,3581,1001,3608
7,6778,2354,6780
8,8278,2989,8264
9,9169,3416,9152
10,11843,5656,11812
11,11843,8809,11812
12,3584,1720,3608
13,2840,1547,2872
14,904,720,944
15,7907,3990,7904
16,5820,1491,5832
17,13421,8388,13376
18,1424,635,1456
19,1198,551,1240
20,964,213,1012
21,519,425,564
22,5877,4631,5892
23,71,71,112
24,364,22,420
25,101,20,168
26,10209,3023,10188
27,9755,2521,9740
28,5143,1608,5156
29,14687,3808,14632
30,3960,2238,3976
31,15068,3923,14968
