Generation,MaxFitness,AvgFitness,MaxDistance
0,557,-11,620
1,460,219,500
2,1163,438,1220
3,2063,1371,2116
4,3131,1053,3156
5,1049,717,1088
6,6562,1906,6560
7,15068,1694,14968
