Generation,MaxFitness,AvgFitness,MaxDistance
0,88,-67,160
1,92,-152,156
2,1558,272,1604
3,283,123,320
4,1471,791,1528
5,2545,1161,2576
6,2084,1086,2116
7,2550,1761,2576
8,199,124,248
9,2239,544,2272
10,2686,1189,2708
11,3585,1851,3604
12,5667,1973,5668
13,1199,1137,1236
14,2515,1285,2564
15,103,97,168
16,6418,2327,6424
17,3884,2088,3904
18,1946,1040,1984
19,5967,1169,5972
20,9100,4927,9084
21,285,226,328
22,7312,3294,7308
23,8053,3288,8044
24,9106,3644,9088
25,14986,6590,14928
