Generation,MaxFitness,AvgFitness,MaxDistance
0,55,-70,128
1,68,-106,136
2,133,-24,176
3,592,35,636
4,858,288,924
5,1324,1021,1384
6,564,471,624
7,417,414,480
8,2389,701,2412
9,4029,1480,4052
10,3735,1341,3756
11,2540,1475,2572
12,10594,2480,10564
13,3581,1180,3608
14,8421,3495,8412
15,15068,8231,14968
