Generation,MaxFitness,AvgFitness,MaxDistance
0,352,7,400
1,202,56,248
2,57,45,108
3,171,9,248
4,2527,442,2552
5,2667,1179,2692
6,2963,1117,2988
7,9524,1433,9504
8,1032,250,1068
9,4077,1258,4096
10,6544,2624,6544
11,9150,2301,9132
12,580,373,624
13,2634,516,2680
14,433,356,476
15,1334,317,1368
16,406,313,468
17,1097,424,1136
18,1692,1180,1728
19,3125,1082,3144
20,1482,594,1516
21,3191,1716,3212
22,5138,2286,5144
23,20765,9390,20672
