Generation,MaxFitness,AvgFitness,MaxDistance
0,595,-48,632
1,113,27,164
2,72,-41,144
3,94,-7,160
4,69,-142,128
5,2213,207,2264
6,4479,938,4492
7,1499,852,1532
8,4656,2795,4708
9,9102,5506,9084
10,13423,4210,13376
11,10294,1946,10268
12,2953,740,3000
13,13640,2685,13592
14,15068,10703,14968
