Generation,MaxFitness,AvgFitness,MaxDistance
0,2842,313,2872
1,457,179,500
2,284,227,324
3,604,549,648
4,96,94,164
5,135,-19,176
6,422,91,484
7,423,243,488
8,233,222,300
9,413,296,480
10,279,243,320
11,600,514,644
12,4443,2995,4480
13,134,134,176
14,1349,367,1388
15,272,215,312
16,849,202,912
17,1349,466,1384
18,2191,965,2248
19,753,445,788
20,1048,469,1080
21,851,664,912
22,2547,767,2576
23,1170,681,1228
24,753,173,800
25,252,132,252
26,1197,172,1228
27,5369,864,5384
28,21416,3719,21336
