Generation,MaxFitness,AvgFitness,MaxDistance
0,115,-59,160
1,92,-13,160
2,66,-84,132
3,-21,-63,128
4,970,86,1012
5,5891,1593,5896
6,1562,681,1604
7,137,67,184
8,6185,2626,6192
9,5738,1493,5748
10,13869,3431,13820
11,9469,3355,9448
12,3365,1908,3384
13,6863,5151,6860
14,3286,2706,3308
15,4632,1190,4644
16,5229,1780,5236
17,9698,5085,9676
18,6722,2589,6720
19,15068,2823,14968
