Generation,MaxFitness,AvgFitness,MaxDistance
0,119,-66,184
1,231,80,300
2,423,302,484
3,232,231,300
4,137,98,180
5,125,109,188
6,90,88,156
7,87,-9,152
8,455,68,492
9,1025,480,1084
10,287,212,332
11,1648,875,1676
12,5369,1259,5372
13,1795,605,1824
14,1198,885,1240
15,5369,1102,5376
16,5820,1660,5824
17,3437,1243,3456
18,1353,1137,1392
19,14915,2265,14816
