Generation,MaxFitness,AvgFitness,MaxDistance
0,238,-75,304
1,1341,669,1376
2,9460,1527,9444
3,2993,995,3016
4,8356,2623,8344
5,2313,1346,2344
6,5735,1589,5748
7,142,88,184
8,5966,1724,5972
9,3882,1059,3900
10,2092,1290,2128
11,4629,1849,4644
12,4180,1648,4200
13,1645,790,1676
14,3879,2502,3896
15,4249,2310,4268
16,6939,1944,6936
17,15068,6262,14968
