Generation,MaxFitness,AvgFitness,MaxDistance
0,77,-16,132
1,53,-55,128
2,108,-38,172
3,242,-99,312
4,249,136,316
5,112,109,176
6,31,23,128
7,76,-66,128
8,-13,-55,128
9,2018,189,2048
10,139,38,184
11,901,246,940
12,1863,618,1900
13,2392,640,2420
14,1949,1405,1980
15,5967,4333,5972
16,2985,834,3016
17,2093,1764,2124
18,4177,1569,4200
19,4179,1342,4196
20,2392,1475,2420
21,2094,1619,2124
22,9399,2988,9380
23,7160,3709,7156
24,4776,2557,4788
25,5823,2111,5828
26,2988,1690,3012
27,9246,3596,9228
28,14920,3627,14820
