Generation,MaxFitness,AvgFitness,MaxDistance
0,1191,62,1224
1,556,195,616
2,285,257,332
3,747,621,784
4,95,94,164
5,103,-43,168
6,1491,539,1520
7,1051,674,1084
8,2539,772,2572
9,6861,1258,6860
10,2755,1505,2788
11,6630,1816,6636
12,672,394,716
13,9014,2857,9004
14,9909,1947,9892
15,7970,3322,7964
16,3499,1705,3524
17,6036,1880,6044
18,2904,1128,2932
19,3584,1198,3608
20,15068,4132,14968
